,Unnamed: 0,school,sex,age,famsize,Pstatus,Medu,Fedu,traveltime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,location,study_time
27,27,GP,M,15,GT3,T,4,2,1,0,no,no,yes,no,yes,yes,yes,no,2,2,4,2,4,1,4,15,16,15,Urban,<2 hours
28,28,GP,M,16,LE3,A,3,4,1,0,yes,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,4,11,11,11,Urban,2 to 5 hours
29,29,GP,M,16,GT3,T,4,4,1,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,16,10,12,11,Urban,2 to 5 hours
30,30,GP,M,15,GT3,T,4,4,1,0,no,yes,yes,no,no,yes,yes,no,5,4,2,3,4,5,0,9,11,12,Urban,2 to 5 hours
31,31,GP,M,15,GT3,T,4,4,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,5,0,17,16,17,Urban,2 to 5 hours
32,32,GP,M,15,GT3,T,4,3,1,0,no,yes,no,yes,yes,yes,yes,yes,4,5,2,1,1,5,0,17,16,16,Rural,2 to 5 hours
33,33,GP,M,15,LE3,T,3,3,1,0,no,no,no,yes,no,yes,yes,no,5,3,2,1,1,2,0,8,10,12,Urban,2 to 5 hours
34,34,GP,M,16,GT3,T,3,2,1,0,no,yes,yes,no,no,yes,yes,no,5,4,3,1,1,5,0,12,14,15,Urban,<2 hours
35,35,GP,F,15,GT3,T,2,3,2,0,no,yes,no,yes,yes,yes,no,no,3,5,1,1,1,5,0,8,7,6,Urban,<2 hours
36,36,GP,M,15,LE3,T,4,3,1,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,4,2,15,16,18,Urban,5 to 10 hours
37,37,GP,M,16,GT3,A,4,4,2,0,no,yes,no,yes,yes,yes,yes,yes,2,4,3,1,1,5,7,15,16,15,Rural,5 to 10 hours
38,38,GP,F,15,GT3,T,3,4,1,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,12,12,11,Rural,5 to 10 hours
39,39,GP,F,15,GT3,T,2,2,1,0,yes,yes,yes,yes,yes,yes,no,no,4,3,1,1,1,2,8,14,13,13,Rural,<2 hours
40,40,GP,F,16,LE3,T,2,2,2,1,no,yes,no,yes,no,yes,yes,yes,3,3,3,1,2,3,25,7,10,11,Urban,2 to 5 hours
41,41,GP,M,15,LE3,T,4,4,1,0,no,yes,no,no,no,yes,yes,yes,5,4,3,2,4,5,8,12,12,12,Urban,<2 hours
42,42,GP,M,15,GT3,T,4,4,1,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,5,2,19,18,18,Urban,2 to 5 hours
43,43,GP,M,15,GT3,T,2,2,1,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,1,0,8,8,11,Urban,<2 hours
44,44,GP,F,16,LE3,T,2,2,2,1,yes,no,no,yes,yes,yes,yes,no,4,3,3,2,2,5,14,10,10,9,Urban,2 to 5 hours
45,45,GP,F,15,LE3,A,4,3,1,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,8,8,8,6,Urban,2 to 5 hours
46,46,GP,F,16,LE3,A,3,3,1,0,no,yes,no,no,yes,yes,yes,no,2,3,5,1,4,3,12,11,12,11,Urban,2 to 5 hours
47,47,GP,M,16,GT3,T,4,3,1,0,no,no,no,yes,yes,yes,yes,no,4,2,2,1,1,2,4,19,19,20,Urban,>10 hours
48,48,GP,M,15,GT3,T,4,2,1,0,no,yes,yes,no,yes,yes,no,no,4,3,3,2,2,5,2,15,15,14,Urban,2 to 5 hours
49,49,GP,F,15,GT3,T,4,4,1,1,yes,yes,no,yes,no,yes,yes,no,4,4,4,1,1,3,2,7,7,7,Urban,2 to 5 hours
50,50,GP,F,16,LE3,T,2,2,3,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,2,3,4,2,12,13,13,Urban,2 to 5 hours
51,51,GP,F,15,LE3,T,4,2,1,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,1,1,5,2,11,13,13,Urban,2 to 5 hours
52,52,GP,M,15,LE3,A,4,2,2,1,no,no,no,no,yes,yes,no,no,5,5,5,3,4,5,6,11,11,10,Urban,<2 hours
53,53,GP,F,15,GT3,T,4,4,1,0,yes,yes,yes,no,yes,yes,yes,no,3,3,4,2,3,5,0,8,10,11,Urban,<2 hours
54,54,GP,F,15,LE3,A,3,3,1,0,no,no,yes,no,yes,yes,yes,no,5,3,4,4,4,1,6,10,13,13,Urban,<2 hours
55,55,GP,F,16,GT3,A,2,1,1,0,no,no,yes,yes,yes,yes,yes,yes,5,3,4,1,1,2,8,8,9,10,Urban,2 to 5 hours
56,56,GP,F,15,GT3,A,4,3,1,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,1,0,14,15,15,Urban,2 to 5 hours
57,57,GP,M,15,GT3,T,4,4,1,0,no,yes,no,yes,yes,yes,no,no,3,2,2,1,1,5,4,14,15,15,Urban,2 to 5 hours
58,58,GP,M,15,LE3,T,1,2,1,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,9,10,9,Urban,2 to 5 hours
59,59,GP,F,16,GT3,T,4,2,1,0,no,yes,no,no,yes,yes,yes,no,4,2,3,1,1,5,2,15,16,16,Urban,2 to 5 hours
60,60,GP,F,16,GT3,T,4,4,1,0,no,yes,no,yes,yes,yes,no,no,2,4,4,2,3,4,6,10,11,11,Rural,2 to 5 hours
61,61,GP,F,16,GT3,T,1,1,4,0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,5,5,5,6,10,8,11,Urban,<2 hours
62,62,GP,F,16,LE3,T,1,2,1,0,yes,no,no,yes,yes,yes,yes,no,4,4,3,1,1,1,4,8,10,9,Urban,2 to 5 hours
63,63,GP,F,16,GT3,T,4,3,1,0,yes,yes,yes,yes,yes,yes,yes,no,3,4,4,2,4,4,2,10,9,9,Urban,5 to 10 hours
64,64,GP,F,15,LE3,T,4,3,1,0,yes,no,no,yes,yes,yes,yes,yes,4,4,4,2,4,2,0,10,10,10,Urban,2 to 5 hours
65,65,GP,F,16,LE3,T,4,3,3,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,1,2,16,15,15,Urban,2 to 5 hours
66,66,GP,M,15,GT3,A,4,4,1,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,5,5,3,4,13,13,12,Urban,>10 hours
67,67,GP,F,16,GT3,T,3,1,1,0,yes,yes,yes,no,yes,yes,yes,no,4,3,3,1,2,5,4,7,7,6,Urban,>10 hours
68,68,GP,F,15,LE3,T,2,2,2,0,yes,yes,yes,no,yes,yes,yes,no,4,1,3,1,3,4,2,8,9,8,Rural,2 to 5 hours
69,69,GP,F,15,LE3,T,3,1,2,0,no,yes,no,no,no,yes,yes,no,4,4,2,2,3,3,12,16,16,16,Rural,>10 hours
70,70,GP,M,16,GT3,T,3,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,2,1,1,5,0,13,15,15,Urban,>10 hours
71,71,GP,M,15,GT3,T,4,2,1,0,no,no,no,no,yes,yes,yes,no,3,3,3,1,1,3,0,10,10,10,Urban,>10 hours
72,72,GP,F,15,GT3,T,1,1,1,2,yes,yes,no,no,no,yes,yes,yes,3,3,4,2,4,5,2,8,6,5,Rural,2 to 5 hours
73,73,GP,M,16,GT3,T,3,1,1,0,no,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,2,12,12,14,Urban,<2 hours
74,74,GP,F,16,GT3,T,3,3,1,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,3,2,4,5,54,11,12,11,Urban,2 to 5 hours
75,75,GP,M,15,GT3,T,4,3,1,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,2,3,5,6,9,9,10,Urban,2 to 5 hours
76,76,GP,M,15,GT3,T,4,0,2,0,no,no,no,yes,yes,yes,yes,no,3,4,3,1,1,1,8,11,11,10,Urban,>10 hours
77,77,GP,F,16,GT3,T,2,2,1,0,no,no,yes,no,yes,yes,yes,yes,5,2,3,1,3,3,0,11,11,11,Urban,>10 hours
78,78,GP,M,17,GT3,T,2,1,2,3,yes,yes,no,yes,yes,no,yes,no,4,5,1,1,1,3,2,8,8,10,Urban,<2 hours
79,79,GP,F,16,GT3,T,3,4,1,0,no,yes,no,no,yes,yes,yes,no,2,4,3,1,2,3,12,5,5,5,Urban,2 to 5 hours
80,80,GP,M,15,GT3,T,2,3,1,0,yes,yes,yes,yes,no,yes,yes,yes,3,2,2,1,3,3,2,10,12,12,Urban,<2 hours
81,81,GP,M,15,GT3,T,2,3,1,0,yes,no,yes,no,no,yes,yes,no,5,3,2,1,2,5,4,11,10,11,Urban,5 to 10 hours
82,82,GP,F,15,LE3,T,3,2,1,0,no,yes,yes,no,yes,yes,yes,no,4,4,4,1,1,5,10,7,6,6,Urban,2 to 5 hours
83,83,GP,M,15,LE3,T,2,2,2,0,no,no,yes,yes,yes,yes,yes,no,5,3,3,1,3,4,4,15,15,15,Urban,2 to 5 hours
84,84,GP,F,15,GT3,T,1,1,1,0,no,yes,no,yes,no,yes,yes,no,4,3,2,2,3,4,2,9,10,10,Urban,2 to 5 hours
85,85,GP,F,15,GT3,T,4,4,2,2,no,no,yes,no,yes,yes,yes,yes,4,4,4,2,3,5,6,7,9,8,Urban,2 to 5 hours
86,86,GP,F,16,LE3,T,2,2,1,0,no,yes,no,no,yes,yes,no,no,4,3,4,1,2,2,4,8,7,6,Urban,2 to 5 hours
87,87,GP,F,15,GT3,T,4,2,1,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,1,4,13,14,14,Urban,5 to 10 hours
88,88,GP,M,16,GT3,T,2,2,2,1,no,no,yes,yes,no,yes,yes,no,4,4,2,1,1,3,12,11,10,10,Urban,2 to 5 hours
89,89,GP,M,16,LE3,A,4,4,1,0,no,yes,no,no,yes,yes,no,no,4,1,3,3,5,5,18,8,6,7,Urban,2 to 5 hours
90,90,GP,F,16,GT3,T,3,3,1,0,no,yes,yes,no,yes,yes,yes,yes,4,3,3,1,3,4,0,7,7,8,Urban,5 to 10 hours
91,91,GP,F,15,GT3,T,4,3,1,0,no,no,yes,yes,yes,yes,yes,no,4,5,5,1,3,1,4,16,17,18,Urban,<2 hours
92,92,GP,F,16,LE3,T,3,1,1,0,yes,yes,no,no,yes,yes,no,no,3,3,3,2,3,2,4,7,6,6,Urban,2 to 5 hours
93,93,GP,F,16,GT3,T,4,2,2,0,no,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,1,0,11,10,10,Urban,2 to 5 hours
94,94,GP,M,15,LE3,T,2,2,1,0,no,yes,no,yes,yes,yes,yes,no,4,3,4,1,1,4,6,11,13,14,Urban,>10 hours
95,95,GP,F,15,GT3,T,1,1,2,1,yes,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,2,7,10,10,Rural,>10 hours
96,96,GP,M,16,GT3,T,4,3,2,0,yes,yes,no,yes,no,yes,yes,no,3,3,3,1,1,4,2,11,15,15,Rural,<2 hours
97,97,GP,F,16,GT3,T,2,1,1,0,no,yes,yes,no,yes,yes,no,yes,4,3,5,1,1,5,2,8,9,10,Urban,2 to 5 hours
98,98,GP,F,16,GT3,T,4,4,1,0,no,no,no,yes,no,yes,yes,no,5,3,4,1,2,1,6,11,14,14,Urban,<2 hours
99,99,GP,F,16,GT3,T,4,3,1,0,yes,yes,yes,no,yes,yes,yes,no,5,3,5,1,1,3,0,7,9,8,Urban,5 to 10 hours
100,100,GP,M,16,GT3,T,4,4,1,0,yes,yes,yes,yes,yes,yes,yes,no,4,5,5,5,5,4,14,7,7,5,Urban,<2 hours
101,101,GP,M,16,GT3,T,4,4,1,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,1,1,4,0,16,17,17,Urban,5 to 10 hours
102,102,GP,M,15,GT3,T,4,4,1,0,no,yes,no,yes,no,yes,yes,no,5,3,3,1,1,5,4,10,13,14,Urban,<2 hours
103,103,GP,F,15,GT3,T,3,2,2,0,yes,yes,yes,no,yes,yes,yes,no,4,3,5,1,1,2,26,7,6,6,Urban,2 to 5 hours
104,104,GP,M,15,GT3,A,3,4,1,0,no,yes,yes,yes,yes,yes,yes,no,5,4,4,1,1,1,0,16,18,18,Urban,2 to 5 hours
105,105,GP,F,15,GT3,A,3,3,1,0,yes,no,no,no,yes,yes,no,no,4,3,3,1,1,4,10,10,11,11,Urban,>10 hours
106,106,GP,F,15,GT3,T,2,2,1,0,yes,yes,yes,no,yes,yes,yes,no,5,1,2,1,1,3,8,7,8,8,Urban,>10 hours
107,107,GP,M,16,GT3,T,3,3,1,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,2,16,18,18,Urban,5 to 10 hours
108,108,GP,M,15,GT3,T,4,4,4,0,no,yes,yes,yes,yes,yes,yes,yes,1,3,5,3,5,1,6,10,13,13,Rural,>10 hours
109,109,GP,F,16,LE3,T,4,4,1,0,no,yes,yes,yes,yes,yes,yes,yes,5,4,5,1,1,4,4,14,15,16,Urban,5 to 10 hours
110,110,GP,M,15,LE3,A,4,4,1,0,no,no,no,yes,yes,yes,yes,no,5,5,3,1,1,4,6,18,19,19,Urban,<2 hours
111,111,GP,F,16,GT3,T,3,3,1,1,yes,yes,no,yes,yes,yes,yes,no,4,1,2,1,1,2,0,7,10,10,Rural,5 to 10 hours
112,112,GP,F,16,GT3,T,2,2,1,1,yes,no,no,yes,yes,yes,yes,no,3,1,2,1,1,5,6,10,13,13,Urban,2 to 5 hours
113,113,GP,M,15,LE3,T,4,2,1,0,no,no,no,no,yes,yes,yes,no,3,5,2,1,1,3,10,18,19,19,Urban,<2 hours
114,114,GP,M,15,GT3,T,2,1,1,0,no,no,no,yes,yes,yes,yes,yes,5,4,2,1,1,5,8,9,9,9,Rural,2 to 5 hours
115,115,GP,M,16,GT3,T,4,4,1,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,1,2,5,2,15,15,16,Urban,2 to 5 hours
116,116,GP,M,15,GT3,T,4,4,2,0,no,yes,no,yes,yes,yes,no,no,4,4,3,1,1,2,2,11,13,14,Urban,2 to 5 hours
117,117,GP,M,16,GT3,T,3,3,2,0,no,no,no,yes,yes,yes,yes,no,5,4,2,1,1,5,0,13,14,13,Urban,<2 hours
118,118,GP,M,17,GT3,T,1,3,3,1,no,yes,no,yes,yes,yes,yes,no,5,2,4,1,4,5,20,9,7,8,Rural,2 to 5 hours
119,119,GP,M,15,GT3,T,3,4,1,0,no,no,no,no,yes,yes,yes,no,3,4,3,1,2,4,6,14,13,13,Urban,<2 hours
120,120,GP,F,15,GT3,T,1,2,1,0,no,no,no,no,no,yes,yes,no,3,2,3,1,2,1,2,16,15,15,Urban,2 to 5 hours
121,121,GP,M,15,GT3,T,2,2,1,0,no,yes,yes,yes,yes,yes,yes,no,5,5,4,1,2,5,6,16,14,15,Urban,>10 hours
122,122,GP,F,16,LE3,T,2,4,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,2,2,1,2,5,2,13,13,13,Urban,2 to 5 hours
123,123,GP,M,16,GT3,T,4,4,1,0,no,yes,no,yes,yes,yes,yes,no,3,4,4,1,4,5,18,14,11,13,Urban,<2 hours
124,124,GP,F,16,GT3,T,2,2,1,0,no,no,yes,no,yes,yes,yes,yes,5,4,4,1,1,5,0,8,7,8,Urban,2 to 5 hours
125,125,GP,M,15,GT3,T,3,4,1,0,yes,no,no,no,yes,yes,yes,no,5,5,5,3,2,5,0,13,13,12,Urban,<2 hours
126,126,GP,F,15,LE3,A,3,4,1,0,yes,no,no,yes,yes,yes,yes,yes,5,3,2,1,1,1,0,7,10,11,Urban,2 to 5 hours
127,127,GP,F,19,GT3,T,0,1,1,3,no,yes,no,no,no,no,no,no,3,4,2,1,1,5,2,7,8,9,Urban,2 to 5 hours
128,128,GP,M,18,GT3,T,2,2,1,2,no,yes,no,yes,yes,yes,yes,no,3,3,3,1,2,4,0,7,4,0,Rural,<2 hours
129,129,GP,M,16,GT3,T,4,4,1,0,no,no,yes,yes,yes,yes,yes,no,3,5,5,2,5,4,8,18,18,18,Rural,<2 hours
130,130,GP,F,15,GT3,T,3,4,2,2,no,yes,no,no,yes,yes,yes,yes,4,2,2,2,2,5,0,12,0,0,Rural,5 to 10 hours
131,131,GP,F,15,GT3,T,1,1,3,0,no,yes,no,yes,no,yes,yes,yes,4,3,3,1,2,4,0,8,0,0,Urban,<2 hours
132,132,GP,F,17,LE3,T,2,2,1,0,no,yes,no,no,yes,yes,yes,yes,3,4,4,1,3,5,12,10,13,12,Urban,<2 hours
133,133,GP,F,16,GT3,A,3,4,1,0,no,no,no,no,yes,yes,yes,no,3,2,1,1,4,5,16,12,11,11,Urban,<2 hours
134,134,GP,M,15,GT3,T,3,4,4,0,no,yes,no,no,yes,yes,no,yes,5,3,3,1,1,5,0,9,0,0,Rural,2 to 5 hours
135,135,GP,F,15,GT3,T,4,4,1,0,no,yes,no,yes,yes,yes,yes,yes,4,3,3,1,1,5,0,11,0,0,Urban,5 to 10 hours
136,136,GP,M,17,GT3,T,3,4,3,0,no,no,no,no,yes,yes,no,no,5,4,5,2,4,5,0,10,0,0,Rural,2 to 5 hours
137,137,GP,F,16,GT3,A,3,3,2,2,no,yes,no,yes,no,yes,yes,yes,4,3,2,1,1,5,0,4,0,0,Urban,<2 hours
138,138,GP,M,16,LE3,T,1,1,1,1,no,no,no,no,yes,yes,no,yes,4,4,4,1,3,5,0,14,12,12,Urban,2 to 5 hours
139,139,GP,F,15,GT3,T,4,4,2,0,no,no,no,yes,yes,yes,yes,no,4,3,2,1,1,5,0,16,16,15,Urban,<2 hours
140,140,GP,M,15,GT3,T,4,3,2,0,yes,yes,no,no,yes,yes,yes,no,2,2,2,1,1,3,0,7,9,0,Urban,>10 hours
141,141,GP,M,16,LE3,T,2,2,2,2,no,yes,no,yes,yes,yes,yes,no,2,3,3,2,2,2,8,9,9,9,Urban,<2 hours
142,142,GP,F,15,GT3,T,4,4,1,0,no,yes,yes,yes,yes,yes,yes,no,4,2,2,1,1,5,2,9,11,11,Urban,5 to 10 hours
143,143,GP,F,16,LE3,T,1,1,1,0,no,no,no,no,yes,yes,yes,no,3,4,4,3,3,1,2,14,14,13,Urban,<2 hours
144,144,GP,M,17,GT3,T,2,1,1,3,no,yes,no,no,yes,yes,yes,no,5,4,5,1,2,5,0,5,0,0,Urban,<2 hours
145,145,GP,F,15,GT3,T,1,1,1,0,no,yes,yes,no,yes,yes,yes,no,4,4,2,1,2,5,0,8,11,11,Urban,2 to 5 hours
146,146,GP,F,15,GT3,T,3,2,1,3,no,yes,no,no,yes,yes,yes,no,3,3,2,1,1,3,0,6,7,0,Urban,2 to 5 hours
147,147,GP,F,15,GT3,T,1,2,1,0,no,yes,yes,no,no,yes,yes,no,4,3,2,1,1,5,2,10,11,11,Urban,2 to 5 hours
148,148,GP,M,16,GT3,T,4,4,1,0,no,yes,no,no,yes,no,yes,yes,3,3,2,2,1,5,0,7,6,0,Urban,<2 hours
149,149,GP,M,15,LE3,A,2,1,4,3,no,no,no,no,yes,yes,yes,no,4,5,5,2,5,5,0,8,9,10,Urban,<2 hours
150,150,GP,M,18,LE3,T,1,1,1,3,no,no,no,no,yes,no,yes,yes,2,3,5,2,5,4,0,6,5,0,Urban,<2 hours
151,151,GP,M,16,LE3,T,2,1,1,1,no,no,no,yes,yes,yes,no,yes,4,4,4,3,5,5,6,12,13,14,Urban,<2 hours
152,152,GP,F,15,GT3,T,3,3,2,2,no,yes,yes,yes,yes,yes,yes,yes,4,2,1,2,3,3,8,10,10,10,Rural,5 to 10 hours
153,153,GP,M,19,GT3,T,3,2,1,3,no,yes,no,no,yes,no,yes,yes,4,5,4,1,1,4,0,5,0,0,Urban,<2 hours
154,154,GP,F,17,GT3,T,4,4,1,0,yes,yes,no,no,yes,yes,no,yes,4,2,1,1,1,4,0,11,11,12,Urban,<2 hours
155,155,GP,M,15,GT3,T,2,3,1,0,yes,no,yes,yes,yes,yes,no,no,4,4,4,1,1,1,2,11,8,8,Rural,2 to 5 hours
156,156,GP,M,17,LE3,T,1,2,1,0,no,no,no,no,yes,yes,no,no,2,2,2,3,3,5,8,16,12,13,Rural,<2 hours
157,157,GP,F,18,GT3,T,1,1,3,3,no,yes,no,yes,no,yes,no,no,5,2,5,1,5,4,6,9,8,10,Rural,<2 hours
158,158,GP,M,16,GT3,T,2,2,3,0,no,no,no,no,no,yes,no,no,4,2,2,1,2,3,2,17,15,15,Rural,<2 hours
159,159,GP,M,16,GT3,T,3,3,1,1,no,yes,yes,no,yes,yes,yes,yes,4,5,5,4,4,5,4,10,12,12,Urban,2 to 5 hours
160,160,GP,M,17,LE3,T,2,1,2,2,no,no,no,yes,yes,no,yes,yes,3,3,2,2,2,5,0,7,6,0,Rural,<2 hours
161,161,GP,M,15,GT3,T,3,2,2,2,yes,yes,no,no,yes,yes,yes,yes,4,4,4,1,4,3,6,5,9,7,Rural,2 to 5 hours
162,162,GP,M,16,LE3,T,1,2,2,1,no,no,no,yes,yes,yes,no,no,4,4,4,2,4,5,0,7,0,0,Urban,<2 hours
163,163,GP,M,17,GT3,T,1,3,1,0,no,no,no,no,yes,no,yes,no,5,3,3,1,4,2,2,10,10,10,Urban,<2 hours
164,164,GP,M,17,LE3,T,1,1,4,3,no,no,no,yes,yes,no,no,yes,5,3,5,1,5,5,0,5,8,7,Rural,2 to 5 hours
165,165,GP,M,16,GT3,T,3,2,2,1,no,yes,no,yes,no,no,no,no,4,5,2,1,1,2,16,12,11,12,Urban,<2 hours
166,166,GP,M,16,GT3,T,2,2,1,0,no,no,no,no,yes,no,yes,no,4,3,5,2,4,4,4,10,10,10,Urban,2 to 5 hours
167,167,GP,F,16,GT3,T,4,2,1,0,no,no,yes,no,yes,yes,yes,yes,4,2,3,1,1,3,0,14,15,16,Urban,2 to 5 hours
168,168,GP,F,16,GT3,T,2,2,1,0,no,yes,yes,no,no,yes,yes,no,5,1,5,1,1,4,0,6,7,0,Urban,2 to 5 hours
169,169,GP,F,16,GT3,T,4,4,1,0,no,yes,yes,no,yes,yes,yes,yes,4,4,2,1,1,3,0,14,14,14,Urban,2 to 5 hours
170,170,GP,M,16,GT3,T,3,4,3,2,no,yes,no,yes,no,yes,yes,no,3,4,5,2,4,2,0,6,5,0,Urban,<2 hours
171,171,GP,M,16,GT3,T,1,0,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,3,2,1,1,3,2,13,15,16,Urban,2 to 5 hours
172,172,GP,M,17,LE3,T,4,4,1,0,no,yes,yes,yes,yes,yes,yes,no,4,4,4,1,3,5,0,13,11,10,Urban,2 to 5 hours
173,173,GP,F,16,GT3,T,1,3,1,3,no,no,no,yes,no,yes,yes,yes,4,3,5,1,1,3,0,8,7,0,Urban,2 to 5 hours
174,174,GP,F,16,LE3,T,3,3,2,0,no,yes,yes,yes,yes,yes,yes,no,4,4,5,1,1,4,4,10,11,9,Urban,2 to 5 hours
175,175,GP,M,17,LE3,T,4,3,2,0,no,no,yes,yes,yes,yes,yes,no,4,4,4,4,4,4,4,10,9,9,Urban,2 to 5 hours
176,176,GP,F,16,GT3,T,2,2,2,0,no,no,yes,yes,no,yes,yes,no,3,4,4,1,4,5,2,13,13,11,Urban,2 to 5 hours
